921143,9128,329
687062,62663,421
812051,61464,425
293291,14396,347
303613,61983,347
394793,22523,158
419535,7201,108
949719,40940,80
181333,32385,267
217992,98938,30
600091,93381,427
285647,53893,265
573505,69626,340
591567,84871,380
454703,11866,341
796291,16414,38
884125,92956,123
757321,76611,257
343173,16199,56
975862,45717,323
628022,54739,282
844365,34497,441
453578,10268,87
356478,10688,148
478562,4682,348
211584,51928,115
918348,63857,236
835473,98872,237
728912,11482,160
740220,258,71
840525,2519,281
837813,47853,234
610137,24709,343
145192,73670,234
211822,62798,1
413192,28505,351
172656,69040,179
846664,78888,253
618670,35227,13
690835,6444,309
921869,61717,389
723216,15402,328
604635,83329,219
211048,33687,393
295801,71209,450
607009,57412,35
454351,69186,116
761522,937,88
489393,14222,160
788456,45154,72
132250,44973,185
960099,33948,371
606219,90593,379
236080,2893,18
902665,97428,140
606004,95425,330
873395,2811,336
979223,28845,23
733063,45419,71
355560,98226,108
625439,46119,335
109668,13312,353
110884,39697,433
110194,97147,151
467067,23634,89
529212,63185,300
450980,30843,373
943569,44220,6
703249,99459,98
967464,25302,108
535282,77161,239
734376,27530,391
735752,93836,65
713766,80940,378
209592,69627,49
502316,76831,411
668713,41228,177
381156,80577,381
411002,22389,60
306452,65051,258
395700,46492,406
548998,43908,68
253905,22421,169
759742,55530,169
726564,95297,11
314078,78987,224
806047,69659,187
193702,84669,36
633219,37598,304
925448,32890,346
564817,85855,20
128001,4462,119
811226,72875,317
692445,49329,152
535098,18201,60
239199,15692,185
602261,95138,242
577835,46460,10
931336,3188,188
409301,40903,381
890424,33401,125
388360,51962,187
215987,6404,176
769812,19915,365
430956,64993,37
247930,59387,260
276395,49087,171
469231,3048,219
694719,11531,287
450919,14307,187
208042,34527,324
415264,33040,26
217621,81194,282
362722,9504,450
154462,54649,87
859029,29373,87
374515,74941,256
371669,58070,315
762558,5828,190
712539,45204,259
662131,35032,255
807919,69296,65
753916,82283,201
519885,95226,421
140840,52996,55
142111,6781,441
505608,29912,234
363256,36029,438
622962,66468,259
946660,50824,285
964434,69899,441
774672,93263,153
797463,51343,39
685914,81256,35
761285,96593,106
644084,27184,442
682243,35175,115
947306,10683,446
700232,26634,263
898079,48415,330
733184,69290,385
206137,19038,125
944350,41643,283
105783,82340,26
182856,45082,398
157646,7391,201
395133,59750,15
210075,93187,202
195375,59586,423
440063,16925,314
436813,47189,414
743135,16096,46
638082,85276,365
833474,25659,336
907239,80493,371
512197,92916,38
175253,76677,207
399743,10675,325
885049,79213,132
563851,63162,384
653261,12274,325
322409,29667,399
758195,46446,360
136854,14195,325
433792,45094,311
789466,4924,81
431273,23832,406
192215,29120,281
890692,95650,135
656258,69954,83
264068,25634,10
808627,65369,144
359600,15639,139
859636,82210,99
198810,97584,45
421705,31824,407
478718,93996,275
631337,18717,278
894086,40583,370
267535,14218,433
829194,57920,53
457702,67552,411
236088,26923,340
433937,5078,438
722800,154,335
659295,12004,246
332738,31708,187
926542,44888,200
429506,63117,338
773038,24151,79
894217,81482,311
508171,20297,26
217853,13692,276
196910,22257,266
710289,8493,450
515074,25976,361
590064,10020,130
172935,32747,398
831318,97424,221
459303,23055,264
659701,22748,396
989743,83009,371
404894,96164,140
496054,61549,221
660865,93908,439
901441,81860,170
944625,23712,12
593801,42005,152
196186,61634,219
820289,19968,318
962668,38769,112
865001,77773,151
108256,84519,439
947314,80793,254
688981,848,380
286263,14204,277
192567,47224,308
541629,98570,409
526614,8582,193
596854,36248,313
723957,20167,327
300568,30902,443
251289,29983,18
973332,97769,62
932341,40473,334
321066,23858,278
957880,52736,419
313831,9681,414
642372,43942,267
590615,11992,391
690940,97239,181
198950,59234,236
756447,53995,357
191508,74721,92
343396,50055,260
793879,15071,137
496229,89379,341
141554,96920,42
177225,96511,265
604880,7096,205
965493,67964,14
635971,8378,414
805295,23884,261
459522,34113,295
361082,28508,69
957401,32352,117
125394,76557,362
654378,71129,257
648368,40611,57
414462,77991,212
294433,57034,49
608240,62646,349
393416,52845,93
423355,10647,266
520700,9713,219
404003,99588,191
137689,23991,148
556224,58777,92
719972,68591,242
615185,87185,390
958677,79912,443
671942,45400,232
653145,77877,233
321880,61103,184
553243,36758,129
574019,74666,448
750855,18388,330
160713,50793,232
285589,57436,221
124332,41268,198
117424,8441,41
976192,26309,251
315648,70668,43
618701,82338,339
124913,29237,384
181938,70919,326
177199,18987,336
622996,53429,157
519407,14145,340
282369,44551,122
181338,69221,308
737607,23718,264
928804,39288,147
297283,71405,54
477427,47562,71
327525,72908,12
292508,99073,289
956668,67805,251
882256,63244,172
360524,83617,422
730499,5443,50
975555,12146,40
517675,70320,249
451685,95764,165
162307,23353,304
858728,8259,400
302436,67707,347
200367,47629,380
957437,61781,84
510952,80356,159
793128,40402,400
365019,27079,73
910477,43329,47
820611,25783,104
288830,1474,238
434006,17968,31
899885,48402,444
872671,19752,121
558858,70299,183
193888,28453,211
952691,74309,349
831179,60289,174
878593,45551,337
113193,25184,1
570557,14253,208
193804,51517,387
663160,68747,213
668317,82452,198
255941,65077,281
179850,79169,24
870004,3567,405
602987,17225,295
170685,31716,153
487648,44158,443
276495,50806,285
717404,28304,427
109707,70556,239
453769,77085,251
849070,76328,95
343079,3901,146
888567,95206,221
794568,22469,78
752775,63064,383
215646,79853,167
361490,65103,410
267707,770,109
625977,35123,138
132503,28160,3
844824,67643,330
187577,45094,174
950748,53001,66
898031,67633,170
579456,52687,85
511016,6099,319
354663,89743,301
614808,35901,198
492039,70629,148
462707,67088,210
770757,76821,89
180629,51569,270
732599,15640,112
371162,88828,421
293651,60254,250
914135,7465,448
988309,87647,326
867477,34820,110
235279,21726,333
478682,14679,49
623046,94475,123
680978,86997,39
365859,83740,399
841408,31287,273
614333,10312,406
285031,9044,295
288530,5214,338
585605,42866,401
749892,91550,168
807003,8701,208
758295,81481,183
356317,92102,117
798448,51371,8
546779,12783,96
720806,67313,444
325802,21114,40
430175,64705,291
784821,55225,297
280295,83616,192
135740,1004,127
373721,15791,32
389657,7602,244
653610,9015,225
855185,66408,169
405757,33074,173
352196,58200,199
563302,8302,244
449941,17249,210
193829,4391,245
969591,73835,34
661180,73450,349
581790,56190,331
495195,24311,382
187278,92578,225
353085,76378,9
928703,60434,366
562018,9170,213
283126,48186,88
775665,56840,385
302204,81817,253
643190,35904,442
803826,82570,102
620769,4043,27
778565,44404,131
233819,45471,273
396246,58128,51
629426,33834,316
812118,96106,272
299303,45919,108
121748,52154,250
314504,78179,374
734340,67929,131
774894,83027,38
735377,24917,410
497055,30149,393
504393,72527,282
846845,53519,73
552155,44454,345
831863,97573,250
122913,80586,361
776043,9862,434
822958,86837,79
958681,11568,250
592166,64921,128
772709,96451,31
582711,90643,156
516517,54452,125
951002,52894,248
281569,30570,310
624967,75456,98
490605,85585,221
373210,8427,313
929476,23483,35
832677,55141,258
390378,75771,257
398663,52572,359
204033,44554,434
797102,6826,113
899864,46437,251
125808,22139,303
955747,46505,106
474949,44388,447
828416,71216,7
121890,70343,73
303039,92882,86
957342,91711,332
194112,68524,347
919850,22171,60
205081,72334,112
774235,1444,378
670030,23977,124
975279,58023,6
667105,33818,11
480988,32773,39
257490,99050,400
855392,10526,38
262176,44439,283
455894,99950,112
478822,11848,239
650487,49721,209
546612,85260,316
680867,34335,57
724143,6529,215
588698,55110,391
403056,58651,20
879392,71274,434
647142,76147,47
857154,24322,122
934935,54842,32
592918,32935,337
172207,93904,116
656728,81372,94
781029,82159,37
159803,73300,153
877323,98178,300
630567,50373,65
457136,62865,275
910311,93512,278
130707,19131,331
107636,68346,346
854584,68442,217
156750,33781,297
262836,19762,41
706168,61649,369
673954,92328,127
700986,19783,231
326738,2180,2
635509,53166,335
809345,96310,432
447552,95188,285
118654,13177,166
366033,40242,222
351161,80597,278
263549,45844,357
789188,35917,48
318234,12975,23
499426,75971,11
545754,299,176
610588,69494,73
433219,2565,424
104424,42729,246
857377,80749,148
495453,26544,352
823824,36654,411
558334,79483,128
170217,28395,295
357226,22439,303
646931,21548,408
828795,48895,245
556221,72542,192
